"Date","Qob.L3","Qsim.L3","SurfaceFlow.L3","Baseflow.L3","DirectRunoff.L3","Eta.L3","StSur.L3","StBase.L3","Impulse.L","Zs.L","Zb.L","Infil.L3","Rech.L3","RecessCount.T","AdjPctEr","Weight","CB0.05","CB0.95"
"2010-01-30",166389.124893798,150622.875509886,23397.2787211563,110465.761888578,16759.834900152,15766.2493839117,617704.343900042,17324997.6074585,0.0287182514349227,0.13994990147068,3.9227782119092,829922.817001739,631386.579655734,1,0.12932616063995,0.013513894328755,NA,NA
"2010-01-31",166144.435004248,123062.766787316,11431.8193617146,111630.947425602,0,43081.6682169318,297785.964206186,17521853.220365,0,0.0672657697556285,3.96931454298239,0,308486.560332141,2,0.287629463189175,0.0268451633175814,91865.0637580768,204973.784301793
"2010-02-01",151952.421410365,119526.429680624,5494.61000681114,114031.819673813,0,32425.9917297412,144021.067907336,17556091.6869832,0,0.0324858516669899,3.97868108643449,0,148270.286292039,3,0.246170869051705,0.0399962749460244,82831.8562916344,204358.521519236
"2010-02-02",154399.320305862,117196.906876835,2653.60950001303,114543.297376822,0,37202.4134290275,69760.7784053628,17513155.0696084,0,0.0157246240987686,3.96931454298239,0,71606.6800019602,4,0.272095790093958,0.0529696638416151,81217.4961988319,200375.654823562
"2010-02-03",148771.452846219,115316.286903435,1284.46722962251,114031.819673813,0,33455.1659427837,33815.3755255683,17433784.1855847,0,0.00761971149444397,3.95064084457681,0,34660.9356501719,5,0.257834264625199,0.0657677317305848,79914.2259196809,204040.136928849
"2010-02-04",149260.832625319,113637.757967708,622.416768268417,113015.341199439,0,35623.0746576108,16397.1858417978,17337564.6173008,0,0.00369422714186127,3.92740969246631,0,16795.7729155021,6,0.270933405677699,0.0783928478824908,78751.0047981511,201070.155124182
"2010-02-05",147792.69328802,112183.086253896,301.763251871592,111881.323002025,0,35609.6070341241,7952.3767099825,17233826.3401787,0,0.00179150191543309,3.90430130215699,0,8143.04587994372,7,0.273422408650093,0.0908473495488317,77742.9168073034,198496.265315181
"2010-02-06",147548.003398471,110781.076453028,146.338983223132,110634.737469805,0,36766.9269454426,3857.08091153313,17127140.5595241,0,0.000868885647182477,3.88131509818363,0,3948.95681522624,8,0.281363938573556,0.103133542395736,76771.3235399793,196015.555266094
"2010-02-07",147792.69328802,109350.369050638,70.9749964822774,109279.394054156,0,38442.3242373823,1870.83791961741,17019776.4334654,0,0.000421436412486863,3.85389213260345,0,1915.26799543344,9,0.291769103425994,0.115253700930805,78701.0243749361,206518.278297049
"2010-02-08",146813.933729822,107972.784321418,34.4250684664342,107938.359252952,0,38841.1494084036,907.443963115058,16912767.0431005,0,0.000204414564977663,3.83117272451906,0,928.968888035916,10,0.296230024220777,0.127210068924183,77709.5569451126,203916.58221722
"2010-02-09",144367.034834325,106750.097774065,16.6976207712278,106733.400153294,0,37616.9370602592,440.155075022152,16806484.2342145,0,9.91507165619389e-05,3.80857367705899,0,450.591267321679,11,0.292922378218559,0.139004859823943,76829.5719519065,201607.425669799
"2010-02-10",144367.034834325,105431.443453581,8.09913454321451,105423.344319038,0,38935.5913807438,213.496982475504,16701279.4488535,0,4.80929009024551e-05,3.78161289988115,0,218.558958003434,12,0.301656711772552,0.150640257165854,75880.5175799865,199117.025113315
"2010-02-11",141920.135938828,104131.074017135,3.92847261713072,104127.145544518,0,37789.0619216921,103.556293809243,16597258.315525,0,2.33273437984159e-05,3.75927665802665,0,106.01221604913,13,0.298906998683368,0.162118414977613,74944.6231005932,196661.157250259
"2010-02-12",141920.135938828,102964.404721576,1.90549602171727,102962.499225555,0,38955.7312172512,50.2296164645552,16494347.2374808,0,1.13148405655359e-05,3.7370589749193,0,51.4211813229702,14,0.306761941942984,0.173441458177616,73880.7650459806,204188.209684528
"2010-02-13",142164.825828377,101811.111703922,0.924253694304365,101810.187450228,0,40353.7141244553,24.3636071872724,16392561.9917862,0,5.48820166949036e-06,3.71495929231833,0,24.9417555829785,15,0.315654248472244,0.184611482968333,73053.2346902533,201901.119916435
"2010-02-14",141675.446049278,100557.856302291,0.448304210627963,100557.40799808,0,41117.589746987,11.8173898268481,16292016.6817012,0,2.66201185102622e-06,3.69297705427644,0,12.0979131497963,16,0.321847515196437,0.195630557224379,72153.9776302927,199415.79523138
"2010-02-15",141186.066270178,99430.8096152892,0.217446659839563,99430.5921686293,0,41755.2566548893,5.73191478147959,16192591.957561,0,1.29118396160837e-06,3.66675261604879,0,5.86802838552894,17,0.327227839190148,0.206500720875329,71345.2799866422,197180.754433815
"2010-02-16",141430.756159728,98204.3546225451,0.105470469480412,98204.2491520756,0,43226.401537183,2.78019768502058,16094390.5546555,0,6.26273540647722e-07,3.64502681035347,0,2.84624662697859,18,0.336624624708818,0.217223986283363,70465.2532103653,194748.577509137
"2010-02-17",141920.135938828,97102.4606526562,0.0511572063464877,97102.4094954499,0,44817.6752861713,1.34849635944096,15997289.5257042,0,3.03765297607464e-07,3.6234166855049,0,1.38054411923313,19,0.346229199912042,0.227802338615814,69674.6035706663,192563.416942413
"2010-02-18",141920.135938828,96012.3005912765,0.0248130936436102,96012.2757781829,0,45907.835347551,0.654066674981637,15901277.9195426,0,1.47336517367779e-07,3.60192169510101,0,0.669616590815712,20,0.353569022309557,0.238237736212671,68892.3734439045,190401.525832523
"2010-02-19",140451.996601529,94933.742655409,0.0120351956966933,94933.7306202133,0,45518.2539461203,0.317243260165421,15806344.5137106,0,7.14629243589153e-08,3.58054129499169,0,0.324788219119523,21,0.354449672389672,0.248532110949127,75206.0304473719,188702.52945723
"2010-02-20",138739.167374681,93866.6635858374,0.00583745493027124,93866.6577483825,0,44872.503788844,0.153872468304505,15712478.0134956,0,3.46616556479332e-08,3.55927494327086,0,0.157533336930644,22,0.354183834639621,0.258687368593213,74360.6958092207,186581.465713963
"2010-02-21",138739.167374681,92810.9448179979,0.00283134022947593,92810.9419866577,0,45928.2225566835,0.0746324278102246,15619667.1479176,0,1.68118668497368e-08,3.53812210026854,0,0.0764087002648044,23,0.361447331820616,0.268705389158615,73524.3607446041,184482.983169037
"2010-02-22",145345.794392523,91766.4706197155,0.00137327874432018,91766.4692464368,0,53579.3237728079,0.0361986493334523,15527900.7157317,0,8.15418904063392e-09,3.51708222854301,0,0.0370604997324521,24,0.396084183667667,0.278588027252714,72696.9335710791,182406.851778283
"2010-02-23",144367.034834325,90733.127183008,0.000666075611159536,90733.1265169324,0,53633.9076513165,0.017557200121496,15437167.6071901,0,3.95497351768892e-09,3.49615479287295,0,0.0179753736007968,25,0.39901353607059,0.288337112419919,71878.324130538,180352.845322301
"2010-02-24",141920.135938828,89710.8021786975,0.000323062341305449,89710.8018556351,0,52209.3337601301,0.00851562215356966,15347456.814053,0,1.91824751014883e-09,3.47533926024955,0,0.00871851562662087,26,0.39599570883485,0.297954449480373,71068.4434363746,178320.740521156
"2010-02-25",140941.376380629,88699.3845355474,0.000156692207687438,88699.3843788552,0,52241.9918450813,0.00413024398264471,15258757.4339028,0,9.3038784976941e-10,3.45463509986878,0,0.00422868596323751,27,0.398843884752515,0.307441818864068,70267.2034985176,176310.316595356
"2010-02-26",137760.407816483,87797.8621045545,7.59988090247156e-05,87797.8620285557,0,49962.545711928,0.00200324053943059,15170959.5739253,0,4.51254905713879e-10,3.43815160428129,0,0.0020510046341894,28,0.391842727771536,0.316800976940454,69553.0219915234,174518.33454206
"2010-02-27",136781.648258284,86905.9691358334,3.6860794570044e-05,86905.9690989726,0,49875.6791224504,0.000971602129499529,15084053.6058211,0,2.18864759907218e-10,3.41764658331882,0,0.000994777615361022,29,0.393911608403987,0.326033656343589,68846.4688958037,172745.493247751
"2010-02-28",138739.167374681,85924.5107527432,1.78779861479827e-05,85924.5107348652,0,52814.6566219382,0.000471241462621156,14998129.0955687,0,1.06153914203135e-10,3.39725146001073,0,0.00048248268073039,30,0.408826990062788,0.335141566292899,68068.9625321346,170794.62020445
"2010-03-01",138983.857264231,84953.5476979348,8.67119132601487e-06,84953.5476892636,0,54030.3095662963,0.000228555257591028,14913175.5481135,0,5.14846800441282e-11,3.37696571186022,0,0.000234015013704113,31,0.41648969630912,0.344126392909599,72962.0650078974,181813.553163601
"2010-03-02",139228.547153781,84088.1036141743,4.20553037890815e-06,84088.1036099687,0,55140.4435396065,0.000110851900022627,14829087.444617,0,2.49720535728057e-11,3.36081551371938,0,0.000113497827189494,32,0.423403139250774,0.352989799528838,72218.7813050843,179961.370786328
